Isotop,T_1/2,Zerfall,γ1 (keV),γ2 (keV),γ3 (keV)
22Na,2.6 a,β+,1275,,
60Co,5.3 a,β−,1173,1333,
137Cs,30.2 a,β−,662(85%),, 
241Am,433 a,α,59.5(35%),,
90Sr,28.8 a,β−,,, 
40K,1.3·10^9 a,β+,1461(11%),,
238U,4.5·10^9 a,α,50(21%),,
234Th,24.1 d,β−,63(5%),93(3%),93(3%)
234Pa,1.2 min,β−,1001(0.8%),767(0.3%), 
226Ra,1600 a,α,186(6%),, 
214Pb,26.8 min,β−,352(36%),295(19%), 
214Bi,19.8 min,α(β−),609(45%),1765(15%),1120(15%)
232Th,1.4·10^10 a,α,,, 
228Ac,6.13 h,β−,911(27%),969(16%),339(11%)
224Ra,3.46 d,α,241(4%),, 
212Pb,10.6 h,β−,239(43%),, 
212Bi,60.6 min,α(β−),727(7%),, 
208Tl,3.1 min,β−,2615(36%),583(31%),511(8%)
